Data,Descrição,Valor,Pagamento,Categoria
01/01/2018,Amazon,R$ 11,11,Débito,Compras
01/02/2018,Pagamento da IPTU,R$ 1.247,44,Débito,Hipoteca e Aluguel
01/02/2018,Thai Restaurant,R$ 24,22,Débito,Restaurantes
01/03/2018,Cartão de Crédito,R$ 2.298,09,Crédito,Cartão de Crédito
01/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
01/05/2018,American Tavern,R$ 25,85,Débito,Restaurantes
01/06/2018,Loja de Ferragens,R$ 18,45,Débito,Melhorias em Casa
01/08/2018,Gas Company,R$ 45,00,Débito,Serviços Públicos
01/08/2018,Loja de Ferragens,R$ 15,38,Débito,Melhorias em Casa
01/09/2018,Spotify,R$ 10,69,Débito,Música
01/10/2018,Phone Company,R$ 89,46,Débito,Conta Telefonica
01/11/2018,Shell,R$ 34,87,Débito,Combustível
01/11/2018,Supermercado,R$ 43,54,Débito,Mercearia
01/12/2018,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
01/01/2019,Pizzaria,R$ 32,91,Débito,Fast Food
01/01/2019,Amazon,R$ 39,05,Débito,Compras
01/03/2019,Supermercado,R$ 44,19,Débito,Mercearia
01/03/2019,American Tavern,R$ 64,11,Débito,Restaurantes
01/04/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
01/04/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
01/07/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
01/08/2019,Amazon,R$ 50,21,Débito,Compras
01/10/2019,Cartão de Crédito,R$ 554,99,Crédito,Cartão de Crédito
01/10/2019,Cartão de Crédito,R$ 309,81,Crédito,Cartão de Crédito
01/10/2019,Cartão de Crédito,R$ 554,99,Débito,Cartão de Crédito
01/10/2019,Loja de Ferragens,R$ 17,38,Débito,Melhorias em Casa
01/11/2019,Cartão de Crédito,R$ 309,81,Débito,Cartão de Crédito
01/12/2019,Starbucks,R$ 3,00,Débito,Cafés
01/01/2020,Provedor de Serviços de Internet,R$ 69,99,Débito,Internet
01/05/2020,Shell,R$ 30,42,Débito,Combustível
01/05/2020,Thai Restaurant,R$ 25,00,Débito,Restaurantes
01/05/2020,Restaurante de Brunch,R$ 17,62,Débito,Restaurantes
02/01/2018,Supermercado,R$ 27,79,Débito,Mercearia
02/01/2018,Amazon,R$ 11,11,Débito,Compras
02/02/2018,Pagamento da IPTU,R$ 1.247,44,Débito,Hipoteca e Aluguel
02/02/2018,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
02/03/2018,Restaurante Japonês,R$ 57,02,Débito,Restaurantes
02/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
02/05/2018,Cartão de Crédito,R$ 145,14,Crédito,Cartão de Crédito
02/06/2018,Cartão de Crédito,R$ 154,13,Crédito,Cartão de Crédito
02/07/2018,Cartão de Crédito,R$ 154,13,Débito,Cartão de Crédito
02/07/2018,Gas Company,R$ 65,00,Débito,Serviços Públicos
02/09/2018,Barbershop,R$ 30,00,Débito,Corte de Cabelo
02/09/2018,Spotify,R$ 10,69,Débito,Música
02/10/2018,Bojangles,R$ 10,66,Débito,Fast Food
02/11/2018,Fancy Restaurant,R$ 106,80,Débito,Restaurantes
02/12/2018,Shell,R$ 36,47,Débito,Combustível
02/12/2018,Phone Company,R$ 89,52,Débito,Conta Telefonica
02/02/2019,Cervejaria,R$ 14,00,Débito,Bares e Bebidas
02/03/2019,American Tavern,R$ 10,00,Débito,Restaurantes
02/03/2019,Companhia de Energia,R$ 60,00,Débito,Serviços Públicos
02/04/2019,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
02/04/2019,Restaurante de Brunch,R$ 8,00,Débito,Restaurantes
02/04/2019,Conta de água,R$ 35,00,Débito,Serviços Públicos
02/08/2019,Supermercado,R$ 35,95,Débito,Mercearia
02/08/2019,Mexican Restaurant,R$ 23,51,Débito,Restaurantes
02/09/2019,Starbucks,R$ 2,00,Débito,Cafés
02/10/2019,Starbucks,R$ 4,00,Débito,Cafés
02/02/2020,Cartão de Crédito,R$ 765,37,Crédito,Cartão de Crédito
02/02/2020,Cartão de Crédito,R$ 156,11,Crédito,Cartão de Crédito
02/02/2020,Cartão de Crédito,R$ 765,37,Débito,Cartão de Crédito
02/02/2020,Provedor de Serviços de Internet,R$ 74,99,Débito,Internet
02/02/2020,American Tavern,R$ 85,52,Débito,Restaurantes
02/02/2020,Posto de Gasolina,R$ 32,21,Débito,Combustível
02/03/2020,Cartão de Crédito,R$ 156,11,Débito,Cartão de Crédito
03/01/2018,Supermercado,R$ 32,07,Débito,Mercearia
03/01/2018,Amazon,R$ 13,13,Débito,Compras
03/02/2018,Pagamento da IPTU,R$ 1.247,44,Débito,Hipoteca e Aluguel
03/02/2018,Salário Quinzenal,R$ 2.000,00,Crédito,Salário
03/03/2018,Supermercado,R$ 23,74,Débito,Mercearia
03/04/2018,Supermercado,R$ 10,69,Débito,Mercearia
03/04/2018,Netflix,R$ 11,76,Débito,Filmes e DVDs
